Hybrid,Location,PlantHeight
G35,GAH2,175.7287147456707
G35,GEH1,167.0571758196318
G35,IAH1,220.97167185145793
G35,IAH3,190.51516033181028
G35,IAH4,201.6331698645113
G35,ILH1,204.46223896950676
G35,INH1,202.63538781851662
G35,MIH1,222.24427095095385
G35,NCH1,212.39750173352775
G35,NYH2,207.68049496602725
G35,NYH3,214.93462228018478
G35,SCH1,171.492853289862
G35,WIH1,174.5966645212604
G35,WIH2,200.6293868738888
G35,WIH3,194.55295141769452
G36,IAH1,183.32750688129244
G36,IAH3,193.8281705201531
G36,IAH4,94.61726852510242
G36,ILH1,214.7610869958582
G36,MIH1,175.8155421503194
G36,MOH2,135.48430818843568
G36,NCH1,137.15228987499464
G36,WIH2,185.33552070643287
G37,DEH1,154.40062254946693
G37,GAH1,131.73854232975333
G37,GAH2,177.16986020922224
G37,GEH1,131.91787644719858
G37,IAH1,170.9093157168763
G37,IAH3,168.52051651854427
G37,IAH4,155.6377726978958
G37,ILH1,124.99794684460534
G37,INH1,159.78687086501475
G37,MIH1,184.3614188693943
G37,MOH2,42.837110764325956
G37,NCH1,120.85680110833441
G37,NEH2,148.5081217594863
G37,NEH3,154.48040916931342
G37,NYH2,178.6513780860724
G37,NYH3,149.7683227721031
G37,SCH1,114.13876975791517
G37,TXH1,145.31330109785804
G37,TXH2,128.86815405826536
G37,WIH1,139.3573095871435
G37,WIH2,165.3900319397719
G37,WIH3,159.3135964835776
G38,DEH1,205.65827476078204
G38,GAH1,162.6405017678831
G38,GAH2,151.08054974762882
G38,GEH1,204.4679372778445
G38,IAH1,217.45695720202323
G38,IAH3,204.37935194820753
G38,IAH4,205.7741655501042
G38,ILH1,201.8741411286262
G38,INH1,236.41860368834287
G38,MIH1,245.36249801314057
G38,MOH2,170.9826257103459
G38,NEH1,269.0378644258648
G38,NEH2,185.85952397080894
G38,NYH2,205.34733406367562
G38,NYH3,202.31329549860703
G38,SCH1,220.8268409662125
G38,TXH1,205.76024285430614
G38,TXH2,180.12580626958047
G38,TXH3,211.97869375109383
G38,WIH1,190.6149617984586
G38,WIH2,216.647684151087
G38,WIH3,210.57124869489272
G39,NCH1,185.60007707331454
G40,DEH1,181.70379770226586
G40,GAH2,166.79253496435211
G40,GEH1,172.08304988437112
G40,IAH1,191.65630203959006
G40,IAH3,196.06312283804786
G40,IAH4,136.0944806797486
G40,INH1,180.9492080371959
G40,MIH1,212.62519328727655
G40,MOH2,113.33106685216758
G40,NCH1,147.56253986100683
G40,NEH1,196.91838029191126
G40,NEH2,160.3056629381948
G40,NEH3,164.72066612177915
G40,NYH2,192.46302068078768
G40,NYH3,120.6412849653843
G40,SCH1,140.6911402997693
G40,TXH1,149.5718288517413
G40,TXH2,156.1713292110643
G40,TXH3,188.02421669257765
G40,WIH1,166.66048473994243
G40,WIH2,192.69320709257082
G40,WIH3,186.61677163637654
G41,DEH1,168.09697443983765
G41,GAH2,119.7299221672768
G41,IAH1,184.43013718283308
